Promo Code,Rule Function,Parameter,Elig Type,SEQNR,,,,,,,,,,,,,,,,Parameter Value,Code Value,,,,,,,,,,,,,,,,,,Result
BYOP 150 Prepaid,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1,,,,,,,,,,,,,,,,Smartphone 39,1000338,,,,,,,,,,,,,,,,,,,
BYOP 150 Prepaid,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,2,,,,,,,,,,,,,,,,Smartphone 40,1000331,,,,,,,,,,,,,,,,,,,
BYOP 150 Prepaid,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,3,,,,,,,,,,,,,,,,Smartphone 45,1000332,,,,,,,,,,,,,,,,,,,
BYOP 150 Prepaid,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,4,,,,,,,,,,,,,,,,Smartphone 50,1000333,,,,,,,,,,,,,,,,,,,
BYOP 150 Prepaid,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,5,,,,,,,,,,,,,,,,Cross-Canada 49,1000334,,,,,,,,,,,,,,,,,,,
BYOP 150 Prepaid,fGW_PRO_RULE_Channel&,Channel,Init,9,,,,,,,,,,,,,,,,Call Centre,,,,,,,,,,,,,,,,,,,,
BYOP 150 Prepaid,fGW_PRO_RULE_WINDTab&,WINDTab,Init+Rec,10,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
Supervisor_Above_6_10,fGW_PRO_RULE_Channel&,Channel,Init,1,,,,,,,,,,,,,,,,Call Centre,,,,,,,,,,,,,,,,,,,,
Supervisor_Above_6_10,fGW_PRO_RULE_PAActive&,N/A,Rec,2,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Supervisor_Above_10_10,fGW_PRO_RULE_Channel&,Channel,Init,1,,,,,,,,,,,,,,,,Call Centre,,,,,,,,,,,,,,,,,,,,
Supervisor_Above_10_10,fGW_PRO_RULE_PAActive&,N/A,Rec,2,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Loyalty_Above_10_10,fGW_PRO_RULE_Channel&,Channel,Init,1,,,,,,,,,,,,,,,,Call Centre,,,,,,,,,,,,,,,,,,,,
Loyalty_Above_10_10,fGW_PRO_RULE_PAActive&,N/A,Rec,2,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Freedom 10 PA,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,1,,,,,,,,,,,,,,,,Cross Canada Plan 10,1000316,,,,,,,,,,,,,,,,,,,
Freedom 10 PA,fGW_PRO_RULE_PAActive&,N/A,Rec,2,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Freedom 10 PA,fGW_PRO_RULE_ServiceType&,ServiceType,Init+Rec,3,,,,,,,,,,,,,,,,Postpaid,,,,,,,,,,,,,,,,,,,,
Freedom 10 PA,fGW_PRO_RULE_Channel&,Channel,Init,4,,,,,,,,,,,,,,,,Call Centre,,,,,,,,,,,,,,,,,,,,
BYOP 150 Prepaid,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,11,,,,,,,,,,,,,,,,Smartphone 35,1000330,,,,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,fGW_PRO_RULE_ServiceType&,ServiceType,Init+Rec,400,,,,,,,,,,,,,,,,Postpaid,,,,,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,fGW_PRO_RULE_PAActive&,N/A,Rec,401,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,402,,,,,,,,,,,,,,,,2012 WIND 40,1000233,,,,,,,,,,,,,,,,,,,
