REFERENCE_CODE,ABBREVIATION,CODE_LABEL,VALID,DESCRIPTION,CHILD_REFERENCE_TYPE,CHILD_ATTRIBUTE_TYPE
166,Freedom Special 50,W27,Y,[02/14/2013 TRahman] Freedom Special 50 : ($5 per month off your service for 10 months),,
179,Supervisor_Above_6_10,CARE60PB,Y,[05/31/2013 TRahman] Supervisor_Above_6_10_PB Promo 2013,,
181,Supervisor_Above_10_10,CARE100PB,Y,[05/31/2013 TRahman] Supervisor_Above_10_10_PB Promo 2013,,
184,Loyalty_Above_10_10,LO100PB,Y,[05/31/2013 TRahman] Loyalty_Above_10_10_PB Promo 2013,,
214,PBRetention_25,PBRetention_25,Y,[06/17/2014 TRahman] PBRetention_25 2014,,
218,Freedom 10 PA,FREEDOM_10_PA,Y,[10/14/2014 TRahman] Freedom 10 PA Promo 2014,,
227,BYOP 150 Prepaid,BYOD_150_PB,Y,[03/12/2015 TRahman] BYOP 150 Prepaid Promo 2015 : ($10 per month off add-ons or pay-per-use for 15 months),,
229,Upgrade $50 Credit,Upgrade_$50_Credit,Y,[04/06/2015 TRahman] Hardware Upgrade Promo June 2015 Credit Only : Upgrade promo eligible - $50 one time service credits,,
1003,$100 Port-in Promo for PA Smartphone Plans,$100_Port-in_Promo_ PA_Smartphone_Plans,Y,[06/16/2015 TRahman]: $100 Port-in Promo for PA Smartphone Plans Promo June 2015,,
1008,THX 10$ Abv MRC 6 Months,THX_10$_Discount_Above_MRC_for_6_Months,Y,[08/20/2015 TRahman]: THX 10$ Abv MRC 6 Months Promo August 2015,,
