REFERENCE_CODE,ABBREVIATION,CODE_LABEL,VALID,DESCRIPTION,CHILD_REFERENCE_TYPE,CHILD_ATTRIBUTE_TYPE
1,ONECONNECT,ONECONNECT,Y,[06/09/2010 MCheng]: Added as per Marketing Request,,
2,YAK,YAK,Y,[06/09/2010 MCheng]: Added as per Marketing Request,,
3,REBATE_AUG13-SEP15,REBATE_AUG13SEP15,Y,[08/12/2010 MCheng]: Added as per Marketing Request SR17681,,
4,DEALER_OWNER,DEALER_OWNER,Y,[08/26/2010 MCheng]: Added to identify Dealer Owner Orders,,
5,DEALER_DEMO,DEALER_DEMO,Y,[08/26/2010 MCheng]: Added to identify Dealer Demo Orders,,
6,PUNJABEW,PUNJABEW,Y,[08/31/2010 AAMJAD]: Added for punjab festival,,
7,CHINESEFESTEW,CHINESEFESTEW,Y,[09/03/2010 ABilal]: Added for Chinese festival,,
8,EIDULFITR,EIDULFITR,Y,[09/10/2010 AAMJAD]: Added for Eid festival,,
9,EPPYAK,EPPYAK,Y,[09/10/2010 AAMJAD] Added to identify EPP sales for YAK,,
10,DEALER_EMPLOYEE,DEALER_EMPLOYEE,Y,[09/20/2010 MCheng]: Added at DTYRER request,,
11,NAVRATRI,NAVRATRI,Y,[10/08/2010 MCheng]: Added at BLONERGAN request,,
12,DIWALI,DIWALI,Y,[10/20/2010 MCheng]: Added at BLONERGAN request,,
13,SAFEST,SAFEST,Y,[10/27/2010 MCheng]: SR21480 - South Asian Festival,,
14,HOLIDAY,HOLIDAY,Y,[Nov-3-2010 MCheng]: Added for 'Nice' promo,,
15,3PR_EMPLOYEE,3PR_EMPLOYEE,Y,[12/7/2010 MCheng]: SR24417,,
16,YorkdaleOpeningPromo100,YORKDALEOPENINGPROMO100,Y,[May-23-2012 Abilal]: Yorkdale promo for weekend of May 26-27,,
17,YorkdaleOpeningPromo50,YORKDALEOPENINGPROMO50,Y,[May-23-2012 Abilal]: Yorkdale promo for weekend of May 26-27,,
18,SPCGRAD2012,SPC_GRAD_2012,Y,[05/18/2012 Abilal]: WIND25 2012 Student Graduation Offer,,
19,STUDENTGRAD2012,STUDENT_GRAD_2012,Y,[05/18/2012 Abilal]: WIND25 2012 Student Graduation Offer,,
20,HELLO CHINA,HELLO_CHINA,Y,[06/20/2012 MHAYAT] Multiculturer Promo,,
21,HELLO PHILLIPINES,HELLO_PHILLIPINES,Y,[06/20/2012 MHAYAT] Multiculturer Promo,,
22,HELLO EUROPE,HELLO_EUROPE,Y,[06/20/2012 MHAYAT] Multiculturer Promo,,
23,HELLO SOUTH ASIA,HELLO_SOUTH_ASIA,Y,[06/20/2012 MHAYAT] Multiculturer Promo,,
24,fusionfestivalpromo,FUSIONFESTIVALPROMO,Y,[06/26/2012 MHAYAT] Multiculturer Promo,,
25,TORONTO W-INDY,TORONTO_WINDY,Y,[07/05/2012 MHAYAT]Toronto Windy,,
26,200 service credit offer,200_SERVICE_CREDIT_OFFER,Y,[07/05/2012 MHAYAT]$200 service credit offer,,
27,GRAND OPENING 50,GRAND_OPENING_50,Y,[July-11-2012 Mhayat]Added for Dealer Promo : ($5 per month off your service for 10 months),,
28,GRAND OPENING 100,GRAND_OPENING_100,Y,[July-11-2012 Mhayat]Added for Dealer Promo : ($10 per month off your service for 10 months),,
29,Money Mart Launch Offer,MONEY_MART_LAUNCH_OFFER,Y,[July-11-2012 Mhayat]Added for Money Mart,,
30,New Markets 50,NEW_MARKETS_50,Y,[July-18-2012 Mhayat]Added for New Market : ($5 per month off your service for 10 months),,
31,Samsung Galaxy 3 Hardware Upgrade,SAMSUNG_GALAXY_3_HARDWARE_UPGRADE,Y,[July-19-2012 Mhayat]Samsung Galaxy Hardware Upgrade,,
32,Freedom Special Offer,Freedom_SPECIAL_OFFER,Y,[July 24-2012 Mhayat]Hailo Taxi Offer,,
33,Student Pricing Card,STUDENT_PRICING_CARD,Y,"[July 31-2012 Mhayat]SPC : ($25 off your service, applied on your 2nd bill cycle)",,
145,LNP Promo Aug 2012,LNP_PROMO_AUG_2012,Y,[08/10/2012 Abilal]LNP August Promo 2012,,
147,Small Business $240 porting credit,SMALL_BUSINESS_$240_PORTING_CREDIT,Y,[09/20/2012 Abilal] LNP SMB SOHO Promo OCT 2012,,
148,200 service credit offer 2012 Q4,200_SERVICE_CREDIT_OFFER_2012_Q4,Y,[Oct-05-2012 TRahman]Added from $200 service credit offer promo 2012 Q4,,
151,BringYourDevice25,BYD,Y,[11/12/2012 MCheng]: Bring Your Device $25 offer,,
154,100 service credit offer DEC 2012 Postpaid,100_SCO_DEC2012_POSTPAID,Y,[11/21/2012 Abilal]100 service credit offer Nov-Dec 2012,,
156,FriendsAndFamily100,FNF,Y,[11/26/2012 MCheng]: Friends and Family 2012 : ($10 per month off your service for 10 months),,
157,BringYourDevice50,BYD_50_2012,Y,[11/26/2012 Abilal] BringYourDevice50 Promo 2012,,
158,2012BoxingDay100,BD_100_2012,Y,[12/12/2012 MCheng]: Boxing Day 2012 Promo,,
159,2012HOLIDAYGIFT50,HOG,Y,[11/26/2012 Abilal] 2012HOLIDAYGIFT50 Promo 2012,,
160,Bring Your Device Freedom20 PA,W21,Y,[01/15/2013 TRahman] Bring Your Device  PA Promo 2013,,
