Campaign Code,Charge Type,,,,,,,,,,,,,,,,,,,Discount %,Max CAP,Event Type,Event Subtype,Invoice Section,,,,,,,,,,,,,,,,
200 service credit offer,ADD-ON,,,,,,,,,,,,,,,,,,,100,20,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
200 service credit offer,USAGE,,,,,,,,,,,,,,,,,,,100,20,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Samsung Galaxy 3 Hardware Upgrade,ADD-ON,,,,,,,,,,,,,,,,,,,100,20,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Samsung Galaxy 3 Hardware Upgrade,USAGE,,,,,,,,,,,,,,,,,,,100,20,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
LNP Promo Aug 2012,ADD-ON,,,,,,,,,,,,,,,,,,,100,20.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
LNP Promo Aug 2012,USAGE,,,,,,,,,,,,,,,,,,,100,20.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Small Business $240 porting credit,ADD-ON,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Small Business $240 porting credit,USAGE,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
200 service credit offer 2012 Q4,ADD-ON,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
200 service credit offer 2012 Q4,USAGE,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
100 service credit offer DEC 2012 Postpaid,ADD-ON,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
100 service credit offer DEC 2012 Postpaid,USAGE,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Bring Your Device Freedom20 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,5.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Bring Your Device Freedom20 PA,USAGE,,,,,,,,,,,,,,,,,,,100,5.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Bring Your Device Freedom30 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Bring Your Device Freedom30 PA,USAGE,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Bring Your Device Freedom40 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,15.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Bring Your Device Freedom40 PA,USAGE,,,,,,,,,,,,,,,,,,,100,15.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Retention Offer 2013 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Retention Offer 2013 PA,USAGE,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Supervisor_Above_10_10_PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
CARE_30_PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Supervisor_Above_6_10_PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Loyalty_Above_10_10_PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Supervisor_Above_10_10_PA,USAGE,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
CARE_30_PA,USAGE,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Supervisor_Above_6_10_PA,USAGE,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Loyalty_Above_10_10_PA,USAGE,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
BYO iPhone PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,25,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
BYO iPhone PA,USAGE,,,,,,,,,,,,,,,,,,,100,25.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
BYD 400 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,20.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
BYD Freedom30 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,5.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
BYD Freedom40 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,12.50,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
BYD 400 PA,USAGE,,,,,,,,,,,,,,,,,,,100,20.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
