Tenant,Sale Location,,,,,,,,,,,,,,,,,,,Location Segment,Market,,,,,,,,,,,,,,,,,,,
GWMC,WCBR0101,,,,,,,,,,,,,,,,,,,WCBR0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCSK0101,,,,,,,,,,,,,,,,,,,WCSK0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0101,,,,,,,,,,,,,,,,,,,WCTR0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCHM0101,,,,,,,,,,,,,,,,,,,WCHM0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0101,,,,,,,,,,,,,,,,,,,WCCA0101,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0102,,,,,,,,,,,,,,,,,,,WCTR0102,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0103,,,,,,,,,,,,,,,,,,,WCTR0103,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0102,,,,,,,,,,,,,,,,,,,WCCA0102,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0105,,,,,,,,,,,,,,,,,,,WCTR0105,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0103,,,,,,,,,,,,,,,,,,,WCCA0103,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_FREEDOMCS_WESTBROOK,,,,,,,,,,,,,,,,,,,SACA004,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCTH0101,,,,,,,,,,,,,,,,,,,WCTH0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0104,,,,,,,,,,,,,,,,,,,WCTR0104,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,ONOAK_FREEDOMCS_OAK_SMART_CTR,,,,,,,,,,,,,,,,,,,SOOK001,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCSC0101,,,,,,,,,,,,,,,,,,,WCSC0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCSC0102,,,,,,,,,,,,,,,,,,,WCSC0102,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCPC0101_DNU,,,,,,,,,,,,,,,,,,,ONPIC_WINDCS_PIC_TWN_CTR,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0107,,,,,,,,,,,,,,,,,,,WCTR0107,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCOS0101,,,,,,,,,,,,,,,,,,,WCOS0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCET0101,,,,,,,,,,,,,,,,,,,WCET0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCMA0101,,,,,,,,,,,,,,,,,,,WCMA0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCVA0101,,,,,,,,,,,,,,,,,,,WCVA0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,ONTOR_BBSTRCS_FINCH_VICPRK,,,,,,,,,,,,,,,,,,,BOTR001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONTOR_BBSTRCS_YNGE_CUMMER,,,,,,,,,,,,,,,,,,,BOTR002,None,,,,,,,,,,,,,,,,,,,
GWMC,ONTOR_BBSTRCS_DNFRTH_JONES,,,,,,,,,,,,,,,,,,,BOTR003,None,,,,,,,,,,,,,,,,,,,
GWMC,ONTOR_BBSTRCS_KING_LBRTY,,,,,,,,,,,,,,,,,,,BOTR004,None,,,,,,,,,,,,,,,,,,,
GWMC,ONMIS_BBSTRCS_DNDS_OSSNGTN,,,,,,,,,,,,,,,,,,,BOMI001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONMIS_BBSTRCS_LKSHRW_STHDWN,,,,,,,,,,,,,,,,,,,BOMI002,None,,,,,,,,,,,,,,,,,,,
GWMC,ONBRA_BBSTRCS_MAIN_VDDN,,,,,,,,,,,,,,,,,,,BOBR001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONPIC_BBSTRCS_KNGSTON_GLNANNA,,,,,,,,,,,,,,,,,,,BOPI001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONAJA_BBSTRCS_HRWD_BLY,,,,,,,,,,,,,,,,,,,BOAJ001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONWHI_BBSTRCS_DNDS_HALLS,,,,,,,,,,,,,,,,,,,BOWH001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONOAK_BBSTRCS_MRLBRH_TRFLGR,,,,,,,,,,,,,,,,,,,BOOA001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONTOR_BBSTRCS_QUNSWY_PKRKDL,,,,,,,,,,,,,,,,,,,BOTR005,None,,,,,,,,,,,,,,,,,,,
GWMC,ONTOR_BBSTRCS_EGLNTN_KNDY,,,,,,,,,,,,,,,,,,,BOTR006,None,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_BBSTRCS_18E_76E,,,,,,,,,,,,,,,,,,,BACA001,None,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_BBSTRCS_CNYNMDW_LKFRSR,,,,,,,,,,,,,,,,,,,BACA002,None,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_BBSTRCS_HMPTN_CNTRYHLLS,,,,,,,,,,,,,,,,,,,BACA003,None,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_BBSTRCS_SDLTWN_MRTNDLE,,,,,,,,,,,,,,,,,,,BACA005,None,,,,,,,,,,,,,,,,,,,
GWMC,ONMISSISSAUGA_FREEDOMCC,,,,,,,,,,,,,,,,,,,COMS001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONPETERBOROUGH_TPCC,,,,,,,,,,,,,,,,,,,COPB001,None,,,,,,,,,,,,,,,,,,,
GWMC,EGCAIRO_TPCC,,,,,,,,,,,,,,,,,,,CECA001,None,,,,,,,,,,,,,,,,,,,
GWMC,Web,,,,,,,,,,,,,,,,,,,WEB0000,None,,,,,,,,,,,,,,,,,,,
GWMC,Call Centre,,,,,,,,,,,,,,,,,,,CC00000,None,,,,,,,,,,,,,,,,,,,
GWMC,Telesales,,,,,,,,,,,,,,,,,,,TS00000,None,,,,,,,,,,,,,,,,,,,
GWMC,WCHM0102,,,,,,,,,,,,,,,,,,,WCHM0102,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,ONMGA_FREEDOMCS_PROTOTYPE,,,,,,,,,,,,,,,,,,,ONMGA_WINDCS_PROTOTYPE,None,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_BBSTRCS_BRNTWD_32AVE,,,,,,,,,,,,,,,,,,,BACA004,None,,,,,,,,,,,,,,,,,,,
GWMC,GW Store,,,,,,,,,,,,,,,,,,,WCTR0103,None,,,,,,,,,,,,,,,,,,,
GWMC,WCED0102,,,,,,,,,,,,,,,,,,,WCED0102,Edmonton,,,,,,,,,,,,,,,,,,,
GWMC,WCOT0101,,,,,,,,,,,,,,,,,,,WCOT0101,Ottawa,,,,,,,,,,,,,,,,,,,
GWMC,WCED0103,,,,,,,,,,,,,,,,,,,WCED0103,Edmonton,,,,,,,,,,,,,,,,,,,
GWMC,ONKAN_BBSTRCS_HAZELDEAN,,,,,,,,,,,,,,,,,,,BOKA001,None,,,,,,,,,,,,,,,,,,,
GWMC,WCVN0101,,,,,,,,,,,,,,,,,,,WCVN0101,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCVN0102,,,,,,,,,,,,,,,,,,,WCVN0102,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,ONMIS_FREEDOMCS_COPTIC_COMM,,,,,,,,,,,,,,,,,,,ONMGA_WINDCS_PROTOTYPE,None,,,,,,,,,,,,,,,,,,,
GWMC,ABEDM_BBSTRCS_95TH_ST,,,,,,,,,,,,,,,,,,,BAED001,None,,,,,,,,,,,,,,,,,,,
GWMC,ABEDM_BBSTRCS_BASELINE,,,,,,,,,,,,,,,,,,,BAED002,None,,,,,,,,,,,,,,,,,,,
GWMC,ONOTW_BBSTRCS_RIDEAU,,,,,,,,,,,,,,,,,,,BOOT001,None,,,,,,,,,,,,,,,,,,,
GWMC,ABEDM_BBSTRCS_23RD_AVE,,,,,,,,,,,,,,,,,,,BAED003,None,,,,,,,,,,,,,,,,,,,
GWMC,ABEDM_BBSTRCS_104TH_ST,,,,,,,,,,,,,,,,,,,BAED004,None,,,,,,,,,,,,,,,,,,,
GWMC,ONOTW_BBSTRCS_CARLING,,,,,,,,,,,,,,,,,,,BOOT002,None,,,,,,,,,,,,,,,,,,,
GWMC,WCED0101,,,,,,,,,,,,,,,,,,,WCED0101,Edmonton,,,,,,,,,,,,,,,,,,,
GWMC,ONRIC_BBSTRCS_BAYVIEW,,,,,,,,,,,,,,,,,,,BORH001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONNEP_BBSTRCS_GREENBANK,,,,,,,,,,,,,,,,,,,BONE001,None,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0108,,,,,,,,,,,,,,,,,,,WCTR0108,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCOT0102,,,,,,,,,,,,,,,,,,,WCOT0102,Ottawa,,,,,,,,,,,,,,,,,,,
GWMC,ONOTW_FREEDOMCS_ST_LAURENT,,,,,,,,,,,,,,,,,,,SOOT003,Ottawa,,,,,,,,,,,,,,,,,,,
GWMC,BCVAN_BBSTRCS_FRASER,,,,,,,,,,,,,,,,,,,BBVN001,None,,,,,,,,,,,,,,,,,,,
GWMC,BCVAN_FREEDOMCS_PARK_ROYAL,,,,,,,,,,,,,,,,,,,SBVN003,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,BCBUR_BBSTRCS_HASTINGS,,,,,,,,,,,,,,,,,,,BBBU001,None,,,,,,,,,,,,,,,,,,,
GWMC,BCVAN_BBSTRCS_KERRISDAL,,,,,,,,,,,,,,,,,,,BBVN003,None,,,,,,,,,,,,,,,,,,,
GWMC,BCNWM_BBSTRCS_6TH_ST,,,,,,,,,,,,,,,,,,,BBNW001,None,,,,,,,,,,,,,,,,,,,
GWMC,BCVAN_BBSTRCS_GLADSTONE,,,,,,,,,,,,,,,,,,,BBVN004,None,,,,,,,,,,,,,,,,,,,
GWMC,BCVAN_BBSTRCS_ROBSON,,,,,,,,,,,,,,,,,,,BBVN002,None,,,,,,,,,,,,,,,,,,,
GWMC,BCVAN_BBSTRCS_12TH_ST,,,,,,,,,,,,,,,,,,,BBVN005,None,,,,,,,,,,,,,,,,,,,
GWMC,BCVAN_BBSTRCS_PARK_TILFORD,,,,,,,,,,,,,,,,,,,BBVN006,None,,,,,,,,,,,,,,,,,,,
GWMC,ONBUR_BBSTRCS_APPLEBY,,,,,,,,,,,,,,,,,,,BOBU001,None,,,,,,,,,,,,,,,,,,,
GWMC,BCVAN_BBSTRCS_LONSDALE,,,,,,,,,,,,,,,,,,,BBVN007,None,,,,,,,,,,,,,,,,,,,
GWMC,ONOTW_BBSTRCS_BANK_ST,,,,,,,,,,,,,,,,,,,BOOT003,None,,,,,,,,,,,,,,,,,,,
GWMC,OPADM_FREEDOMIN_CORPHQ,,,,,,,,,,,,,,,,,,,OPADM_WINDIN_CORPHQ,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0109,,,,,,,,,,,,,,,,,,,WCTR0109,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,ONTOR_FREEDOMCS_EVENTS,,,,,,,,,,,,,,,,,,,MOTR001,None,,,,,,,,,,,,,,,,,,,
GWMC,BCVAN_FREEDOMCS_EVENTS,,,,,,,,,,,,,,,,,,,MBVN001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONOTW_FREEDOMCS_EVENTS,,,,,,,,,,,,,,,,,,,MOOT001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONTOR_FREEDOMCS_WEST_EVENTS,,,,,,,,,,,,,,,,,,,MOTR002,None,,,,,,,,,,,,,,,,,,,
GWMC,ABEDM_FREEDOMCS_EVENTS,,,,,,,,,,,,,,,,,,,MAED001,None,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_FREEDOMCS_EVENTS,,,,,,,,,,,,,,,,,,,MACA001,None,,,,,,,,,,,,,,,,,,,
GWMC,ONTOR_FREEDOMCS_WOODBINE_II,,,,,,,,,,,,,,,,,,,OPADM_WINDIN_CORPHQ,None,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0107,,,,,,,,,,,,,,,,,,,WCCA0107,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,ONHAM_FREEDOMCS_MOUNTAIN_PLAZA,,,,,,,,,,,,,,,,,,,SOHM003,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCED0105,,,,,,,,,,,,,,,,,,,WCED0105,Edmonton,,,,,,,,,,,,,,,,,,,
GWMC,ABEDM_FREEDOMCS_CAPILANO,,,,,,,,,,,,,,,,,,,SAED006,Edmonton,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0110,,,,,,,,,,,,,,,,,,,WCTR0110,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCTH0102,,,,,,,,,,,,,,,,,,,WCTH0102,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCMA0103,,,,,,,,,,,,,,,,,,,WCMA0103,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0106,,,,,,,,,,,,,,,,,,,WCCA0106,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0111,,,,,,,,,,,,,,,,,,,WCTR0111,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_FREEDOMCS_SOUTHLAND,,,,,,,,,,,,,,,,,,,SACA008,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0105,,,,,,,,,,,,,,,,,,,WCCA0105,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCVN0104,,,,,,,,,,,,,,,,,,,WCVN0104,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,BCBUR_FREEDOMCS_BRENTWOOD,,,,,,,,,,,,,,,,,,,SBBR001,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,BCBUR_FREEDOMCS_LOUGHEED,,,,,,,,,,,,,,,,,,,SBBR002,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCSR0101,,,,,,,,,,,,,,,,,,,WCSR0101,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCLA0101,,,,,,,,,,,,,,,,,,,WCLA0101,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0109,,,,,,,,,,,,,,,,,,,WCCA0109,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCRC0101,,,,,,,,,,,,,,,,,,,WCRC0101,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCNW0101,,,,,,,,,,,,,,,,,,,WCNW0101,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCVN0105,,,,,,,,,,,,,,,,,,,WCVN0105,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0115,,,,,,,,,,,,,,,,,,,WCTR0115,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0114,,,,,,,,,,,,,,,,,,,WCTR0114,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCOT0104,,,,,,,,,,,,,,,,,,,WCOT0104,Ottawa,,,,,,,,,,,,,,,,,,,
GWMC,ONTOR_FREEDOMCC_OPTIMA,,,,,,,,,,,,,,,,,,,COTR001,None,,,,,,,,,,,,,,,,,,,
GWMC,WCMA0102,,,,,,,,,,,,,,,,,,,WCMA0102,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCNM0101,,,,,,,,,,,,,,,,,,,WCNM0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCMR0101,,,,,,,,,,,,,,,,,,,WCMR0101,Toronto,,,,,,,,,,,,,,,,,,,
