Promotion Code,Entitlement Category,,,,,,,,,,,,,,,,,,,Initial Allocation Amount,Recurring Allocation Amount,Entitlement Validity Period,Entitlement Validity Period Unit,Prorate Method,Prepaid Creation GL Code,Prepaid Consumption GL Code,Prepaid Expiry GL Code,Recurring Period,Recurring Period Unit,Allocation Validity Period,Allocation Validity Period Unit,Postpaid Creation GL Code,Postpaid Consumption GL Code,Postpaid Expiry GL Code,Invoice Message Code,,,,,Description
$50 Service Credit,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,5,10,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$50 Service Credit in monthly increments of $5 for 10 months.
$50 Service Credit Everywhere 45 60 Smartphone 50,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,5,10,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,
2015 Black Friday $100,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,10,10,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$100 Service Credit in monthly increments of $10 for 10 months.
2015 Black Friday $50,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,5,10,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$50 Service Credit in monthly increments of $5 for 10 months.
2015 Boxing Day $100,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,10,10,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$100 Service Credit in monthly increments of $10 for 10 months.
2015 Boxing Week $50,Below MRC Subaccount,,,,,,,,,,,,,,,,,,,,5,10,Bill Cycles,None,101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400399-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,$50 Service Credit in monthly increments of $5 for 10 months.
Accessibility Above $5 PB,Above MRC Subaccount,,,,,,,,,,,,,,,,,,,,5.25,,,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000,Accessibility Credit,,,,,$5.25 above MRC for forever.
Back to School BYOP Bonus PB,Above MRC Subaccount,,,,,,,,,,,,,,,,,,,,12.5,24,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000,Bring Your Own Device Promo,,,,,$12.50 per month off add-ons or pay-per-use for 24 months
BYD 150 PB 2014,Above MRC Subaccount,,,,,,,,,,,,,,,,,,,,7.5,20,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000,Bring Your Own Device Promo,,,,,$7.50 per month off add-ons or pay-per-use for 20 months
BYD 250 PB,Above MRC Subaccount,,,,,,,,,,,,,,,,,,,,12.5,20,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400309-1002-0000000-0000000-000-00000-0000000,Bring Your Own Device Promo,,,,,$12.50 per month off add-ons or pay-per-use for 20 months
