Promo Code,,,,,,,,,,,,,,,,,,,,Type,ActionType,Start Date,End Date,Months Until Benefit,BenefitDuration,Reusable/Stackable?,Short Name,UniqueCode?,MembershipId?,BenefitType,Rep EndDate,Promo Category,Invoice Message Code,Invoice Description,,,,Measurement,Max Redemption,Description
Smartphone 50 - 1 Month Free,,,,,,,,,,,,,,,,,,,,Auto,New Line (New or Existing),24-04-2015 00:00:00,05-12-2015 00:00:00,1,1,No,SMARTPHONE_50_1_MONTH_FREE,No,No,Service,08-12-2015 00:00:00,Marketing,Rate Plan Discount Promo,Smartphone 50 - 1 Month Free Promo April 2015,,,,AMOUNT,50,[04/22/2015 TRahman]: Smartphone 50 - 1 Month Free Promo April 2015
Smartphone 50 Weekend Promo,,,,,,,,,,,,,,,,,,,,Auto,New Line (New or Existing),29-05-2015 00:00:00,06-01-2015 00:00:00,1,10,No,SMARTPHONE_50_WEEKEND_PROMO,No,No,Service,08-12-2015 00:00:00,Marketing,Rate Plan Discount Promo,Smartphone 50 Weekend Promo Promo May 2015,,,,AMOUNT,5,[05/28/2015 TRahman]: Smartphone 50 Weekend Promo Promo May 2015
$100 Port-in Promo for PA Smartphone Plans,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-04-2015 00:00:00,15-06-2015 00:00:00,1,10,No,PORT-IN_PROMO_SMARTPHONE_PLANS,No,No,Service,08-12-2015 00:00:00,Marketing,Rate Plan Discount Promo,$100 Port-in Promo for PA Smartphone Plans Promo June 2015,,,,AMOUNT,10,[06/16/2015 TRahman]: $100 Port-in Promo for PA Smartphone Plans Promo June 2015
Freedom Special 50,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),20-02-2013 00:00:00,06-11-2017 00:00:00,0,10,No,WIND SPECIAL 50,Yes,No,Service,12-02-2020 00:00:00,Marketing,Rate Plan Discount Promo,$5 per month off your service for 10 months,,,,AMOUNT,5,$5 per month off your service for 10 months
Freedom Special 100,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),18-01-2013 00:00:00,01-03-2019 23:59:59,0,10,No,WIND SPECIAL 100,Yes,No,Service,01-03-2019 23:59:59,Marketing,Rate Plan Discount Promo,$10 per month off your service for 10 months,,,,AMOUNT,10,$10 per month off your service for 10 months
GRAND OPENING 50,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),12-07-2012 00:00:00,06-11-2017 00:00:00,0,10,No,GRAND OPENING 50,Yes,No,Service,12-02-2020 00:00:00,Marketing,Store Opening Promo,$5 per month off your service for 10 months,,,,AMOUNT,5,$5 per month off your service for 10 months
GRAND OPENING 100,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),12-07-2012 00:00:00,06-11-2017 00:00:00,0,10,No,GRAND OPENING 100,Yes,No,Service,12-02-2020 00:00:00,Marketing,Store Opening Promo,$10 per month off your service for 10 months,,,,AMOUNT,10,$10 per month off your service for 10 months
FriendsAndFamily100,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),26-11-2012 00:00:00,06-11-2017 00:00:00,0,10,No,FRIENDSANDFAMILY100,Yes,No,Service,29-08-2024 23:59:59,Marketing,Friends & Family Promo,$10 per month off your service for 10 months,,,,AMOUNT,10,$10 per month off your service for 10 months
Student Pricing Card,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),07-11-2012 00:00:00,27-04-2017 00:00:00,1,1,No,STUDENT PRICING CARD,No,Yes,Service,25-10-2025 00:00:00,Marketing,SPC Promo,"$25 off your service, applied on your 2nd bill cycle",,,,AMOUNT,25,"$25 off your service, applied on your 2nd bill cycle"
Supervisor_Below_6_10,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),31-05-2013 00:00:00,31-12-2025 00:00:00,0,7,No,LOYALTY_60,No,No,Service,15-06-2025 00:00:00,Supervisor,Rate Plan Discount Promo,Discount: $10/mo. for 6 months,,,,AMOUNT,10,$60 ($10 x 6 months)
