Order Sequence,Access Entity,CB Profile,Campaign,,,,,,,,,,,,,,,,,Maintenance Type,Agent,,,,,,,,,,,,,,,,,,,Description
1,Promo Product Maintenance,GW8_CC_BO,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Add,,,,,,,,,,,,,,,,,,,,
2,Promo Product Maintenance,GW8_CC_BO,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Delete,,,,,,,,,,,,,,,,,,,,
3,Promo Product Maintenance,GW8_CC_ESCALATION,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Add,,,,,,,,,,,,,,,,,,,,
4,Promo Product Maintenance,GW8_CC_ESCALATION,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Delete,,,,,,,,,,,,,,,,,,,,
5,Promo Product Maintenance,GW8_CC_HD_QQ,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Add,,,,,,,,,,,,,,,,,,,,
6,Promo Product Maintenance,GW8_CC_HD_QQ,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Delete,,,,,,,,,,,,,,,,,,,,
7,Promo Product Maintenance,GW8_CC_L1GEN,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Add,,,,,,,,,,,,,,,,,,,,
8,Promo Product Maintenance,GW8_CC_L1GEN,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Delete,,,,,,,,,,,,,,,,,,,,
9,Promo Product Maintenance,GW8_CC_L2TECH,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Add,,,,,,,,,,,,,,,,,,,,
10,Promo Product Maintenance,GW8_CC_L2TECH,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Delete,,,,,,,,,,,,,,,,,,,,
11,Promo Product Maintenance,GW8_CC_MULTI_TENANT,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Add,,,,,,,,,,,,,,,,,,,,
12,Promo Product Maintenance,GW8_CC_MULTI_TENANT,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Delete,,,,,,,,,,,,,,,,,,,,
13,Promo Product Maintenance,GW8_CC_QQTL,Pixel 8 promo - $120 discount with select plan,,,,,,,,,,,,,,,,,Add,,,,,,,,,,,,,,,,,,,,
