Promo Code,Rule Function,Parameter,Elig Type,SEQNR,,,,,,,,,,,,,,,,Parameter Value,Code Value,,,,,,,,,,,,,,,,,,Result20
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_PrimarySecondaryType&,PrimarySecondaryType,Init+Rec,80162,,,,,,,,,,,,,,,,Primary,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_ServiceType&,ServiceType,Init+Rec,80163,,,,,,,,,,,,,,,,Postpaid,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_WINDTab&,WINDTab,Init+Rec,80164,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_CustomerType&,CustomerType,Init,80165,,,,,,,,,,,,,,,,GW CONSUMER,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_CustomerType&,CustomerType,Init,80166,,,,,,,,,,,,,,,,GW BUSINESS,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_RatePlanToMRC&,RatePlanToMRC,Init+Rec,80167,,,,,,,,,,,,,,,,>=35,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80168,,,,,,,,,,,,,,,,840244707262,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80169,,,,,,,,,,,,,,,,840244706944,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80170,,,,,,,,,,,,,,,,840244707156,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80171,,,,,,,,,,,,,,,,840244707033,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80172,,,,,,,,,,,,,,,,840244706746,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80173,,,,,,,,,,,,,,,,840244706852,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80174,,,,,,,,,,,,,,,,629258136974,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80175,,,,,,,,,,,,,,,,629258136950,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80176,,,,,,,,,,,,,,,,629258136967,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80177,,,,,,,,,,,,,,,,629258136943,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80178,,,,,,,,,,,,,,,,629258136929,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80179,,,,,,,,,,,,,,,,629258136936,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80180,,,,,,,,,,,,,,,,0887636 BC Ltd,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80181,,,,,,,,,,,,,,,,8771359 Canada Inc,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80182,,,,,,,,,,,,,,,,Astral Mobile,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80183,,,,,,,,,,,,,,,,A-Z Wireless,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80184,,,,,,,,,,,,,,,,BAGGIA WIRELESS LTD.,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80185,,,,,,,,,,,,,,,,BSBY,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80186,,,,,,,,,,,,,,,,Call Centre,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80187,,,,,,,,,,,,,,,,CellCan,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80188,,,,,,,,,,,,,,,,Cellcom,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80189,,,,,,,,,,,,,,,,Cellstreams Communication Inc.,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80190,,,,,,,,,,,,,,,,Cell-Tel,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan,fGW_PRO_RULE_Channel&,Channel,Init,80191,,,,,,,,,,,,,,,,Celltronics,,,,,,,,,,,,,,,,,,,
